,EWMA(0.94),GARCH11_h1,EGARCH11_h1,GJR11_h1,HAR_RV_h1
2016-05-25,0.0026634008218505423,,,,0.00025374823846154027
2016-05-26,0.002798627723354416,,,,-0.002324055843421713
2016-05-27,0.00218120542312239,,,,-0.0057700916465339425
2016-05-31,0.002470775168641526,,,,-0.0027132390060346095
2016-06-01,0.0025406603955216572,,,,-0.0035135682023398618
2016-06-02,0.00021772015521470678,,,,-0.0055194626615465425
2016-06-03,0.0008423395700198621,,,,-0.001731861455615047
2016-06-06,0.003896518716759681,,,,0.000628238892475208
2016-06-07,0.004485718329346425,,,,-0.0007645645217264629
2016-06-08,0.007402841489656878,,,,-0.00042795910531683024
2016-06-09,0.001601639162436136,,,,-0.008524990646682135
2016-06-10,0.004397590345424723,,,,0.00023693809542886524
2016-06-13,0.004081874401230937,,,,0.004493664231564318
2016-06-14,-0.0032816094551977315,,,,-0.006149713973924845
2016-06-15,-0.006561717219055296,,,,-0.006150397314415176
2016-06-16,-0.01086009388819932,,,,-0.006806733923248501
2016-06-17,-0.007331970094542631,,,,0.0022768164783839306
2016-06-20,-0.004912637794527094,,,,0.0011724137585734928
2016-06-21,-0.007799932010133806,,,,-0.0022035099933386953
2016-06-22,-0.005730260454961153,,,,-0.000247892168977526
2016-06-23,-0.0032420208880684642,,,,-0.0004321552882682045
2016-06-24,0.054970239155714626,,,,0.06944114355876123
2016-06-27,-0.008432521257729808,,,,0.0027167800092341154
2016-06-28,-0.004605599869497823,,,,0.005341248015702488
2016-06-29,-0.0014866841364262473,,,,0.0038807307311568284
2016-06-30,-0.001167604763346708,,,,4.559637075593481e-05
2016-07-01,-0.0027486228106129995,,,,-0.004332073193897945
2016-07-05,0.004381251197299402,,,,-0.0016393872770767703
2016-07-06,0.008308935373497306,,,,-0.0019862092502875572
2016-07-07,0.012339938461585404,,,,-0.001857733709193371
2016-07-08,0.024471605085291392,,,,0.005230499588709803
2016-07-11,0.020543915615764602,,,,-0.0017707120718040426
2016-07-12,0.023250832881060557,,,,-0.0038484036476294226
2016-07-13,0.023569060894746058,,,,-0.003708832757584879
2016-07-14,0.028747908346155787,,,,-0.0005097452447871131
2016-07-15,0.03234861134690131,,,,-0.00027447391002141663
2016-07-18,0.03719814833546972,,,,-0.0002258842120821114
2016-07-19,0.04085562831880374,,,,-0.0009441737091553937
2016-07-20,0.045004625460390274,,,,-0.0004159259367772228
2016-07-21,0.04965456842963828,,,,0.001285219821560546
2016-07-22,0.05311278348997392,,,,0.0001025243107604934
2016-07-25,0.05279965385524549,,,,-0.0030293545983729186
2016-07-26,-0.0017980475573264598,,,,-0.057345393205531975
2016-07-27,-0.020815539559507504,,,,-0.015545477675397101
2016-07-28,-0.02923481078312405,,,,-0.0035401708245964836
2016-07-29,-0.03941640227107328,,,,-0.005957800389409365
2016-08-01,-0.04594788193743746,,,,-0.0030627708069180526
2016-08-02,-0.03721386033056835,,,,0.01045001157598835
2016-08-03,-0.04266610508317968,,,,-0.0032482939063008393
2016-08-04,-0.0414005939925023,,,,0.0010644682914853487
2016-08-05,-0.03493483995414676,,,,0.00521275807884275
2016-08-08,-0.05271700549716179,,,,-0.015241353401941764
2016-08-09,-0.050003749222122376,,,,0.00232860080202852
2016-08-10,-0.05026688930942506,,,,-0.001240573331871421
2016-08-11,-0.04586606978037837,,,,0.00374187723326231
2016-08-12,-0.047005626495027486,,,,-0.001400380124360008
2016-08-15,-0.043886413654318106,,,,0.0009156923346200913
2016-08-16,-0.038377232245300666,,,,0.003640662620364013
2016-08-17,-0.037694251536306456,,,,-0.00029620969637839806
2016-08-18,-0.036360746149790915,,,,-0.0016734397070609155
2016-08-19,-0.0357032109758693,,,,-0.0021859126829184908
2016-08-22,-0.035211244900791965,,,,-0.0024876129260516106
2016-08-23,-0.033483685483526475,,,,-0.0013421090533305702
2016-08-24,-0.02763211154599527,,,,0.0029968170767998153
2016-08-25,-0.027748664963301882,,,,-0.0015806044090400304
2016-08-26,-0.024928491309158814,,,,-0.0012177630605872958
2016-08-29,-0.02055896543272162,,,,0.0005996324126012129
2016-08-30,-0.02036485584063752,,,,-0.0017010425404126034
2016-08-31,-0.0224192477177751,,,,-0.006001777708082814
2016-09-01,-0.02178807887181585,,,,-0.0021652131382889003
2016-09-02,-0.01754986814159344,,,,0.0006696759520598561
2016-09-06,-0.024381440851269857,,,,-0.008463528558124253
2016-09-07,-0.023283823287177603,,,,-0.0010368401389139054
2016-09-08,-0.02039472893596827,,,,-0.0004775562550574028
2016-09-09,0.030243108604897956,,,,0.047688822253613365
2016-09-12,-0.005494833421046064,,,,0.00481576643356374
2016-09-13,-0.004797483557260784,,,,0.002879736746240938
2016-09-14,-0.014453656386773178,,,,-0.007842107987640207
2016-09-15,-0.005161946575500814,,,,0.0003458420104246601
2016-09-16,-0.006955015009696683,,,,-0.0034749186664517345
2016-09-19,-0.0043238230316828,,,,-0.003311856246774214
2016-09-20,-0.0004144589148452754,,,,-0.0022921785919550602
2016-09-21,0.010270259453440261,,,,0.004812084077438716
2016-09-22,0.007843378390763281,,,,-0.0008597984208966181
2016-09-23,0.009339943617438604,,,,-0.0023989459138140934
2016-09-26,0.014030640659728852,,,,0.0006031124556823142
2016-09-27,0.01537147026751727,,,,-0.0003731958820632486
2016-09-28,0.016647052354473738,,,,-0.0020016164473438403
2016-09-29,0.022145491607941672,,,,0.0017031195051925851
2016-09-30,0.022786035741016272,,,,0.0005239909403302601
2016-10-03,0.023050047141312993,,,,-0.0015501697143861515
2016-10-04,0.026287929546434594,,,,-0.0015169653173350006
2016-10-05,0.028621438118477366,,,,-0.0006627737415965396
2016-10-06,0.030847704263387926,,,,-0.0009013716147628359
2016-10-07,0.03447781231597383,,,,-0.0004945644912894842
2016-10-10,0.009238977618282795,,,,-0.028310504572439832
2016-10-11,0.008960900895317703,,,,0.0011531148191703117
2016-10-12,-0.011226668319518324,,,,-0.009815195735277019
2016-10-13,-0.007138525873985627,,,,0.003649789925816202
2016-10-14,-0.0107894769979993,,,,-0.004513208038464556
2016-10-17,-0.007712592686932612,,,,0.001207051705673562
2016-10-18,-0.002870105825138969,,,,0.003444599183583419
2016-10-19,-0.00229557729479081,,,,0.0004955972537682429
2016-10-20,-0.00797550229736231,,,,-0.008311386948191488
2016-10-21,-0.008450561523541927,,,,-0.0024801591564321407
2016-10-24,-0.005739352134521508,,,,0.0007031320670508184
2016-10-25,-0.008319567887287549,,,,-0.0032873342430106423
2016-10-26,-0.009342670565420846,,,,-0.002134605782015367
2016-10-27,-0.009015194381679595,,,,-0.001473689622666377
2016-10-28,-0.012444240383925484,,,,-0.004983875995855855
2016-10-31,-0.0165493576463812,,,,-0.005130209282336595
2016-11-01,-0.010543694043046517,,,,0.004455158199677789
2016-11-02,-0.012235618606160834,,,,0.000816446289724368
2016-11-03,-0.014983623795637072,,,,-0.0023514444713353955
2016-11-04,-0.014769348566807824,,,,-0.0008795373589102901
2016-11-07,0.024707871502045967,,,,0.03644478198271929
2016-11-08,-0.010146523243293085,,,,-0.005330750993919733
2016-11-09,-0.011287978969744372,,,,-0.007297648681043503
2016-11-10,-0.015019749521190867,,,,-0.0025561671838007366
2016-11-11,-0.012267255361590665,,,,-0.002363974536140692
2016-11-14,-0.009144121858276705,,,,-0.0010538153275823497
2016-11-15,-0.004266112127366009,,,,0.00037735494101449885
2016-11-16,-0.006307787233556947,,,,-0.0024635570554430303
